Ticker,Name,Recommendation Score
MHF,Western Asset Municipal High In,0.24
MHI,Pioneer Municipal High Income T,0.52
MHK,"Mohawk Industries, Inc.",1.07
MHN,Blackrock MuniHoldings New York,-1.63
MHO,"M/I Homes, Inc.",1.94
MITT,"AG Mortgage Investment Trust, I",0.82
MIY,Blackrock MuniYield Michigan Qu,0.06
MKC,"McCormick & Company, Incorporat",1.03
MKL,Markel Group Inc.,1.00
MLI,"Mueller Industries, Inc.",1.90
MLM,"Martin Marietta Materials, Inc.",1.21
MLR,"Miller Industries, Inc.",1.53
MMC,"Marsh & McLennan Companies, Inc",2.06
MMD,MainStay MacKay DefinedTerm Mun,0.95
MMM,3M Company,1.84
MMS,"Maximus, Inc.",1.89
MMT,MFS Multimarket Income Trust,1.09
MMU,Western Asset Managed Municipal,-0.61
MNR,Mach Natural Resources LP,1.59
MO,"Altria Group, Inc.",2.30
